query,query_type,response
adl.windows.com,A,23.67.246.25
adl.windows.com,A,23.67.246.48
adl.windows.com,CNAME,a1943.g2.akamai.net
adl.windows.com,CNAME,adl.windows.com.edgesuite.net
cem.services.microsoft.com,CNAME,wildcard.services.microsoft.com.edgekey.net
cem.services.microsoft.com,CNAME,e3462.g.akamaiedge.net
cem.services.microsoft.com,A,23.202.88.128
client.wns.windows.com,A,52.230.222.68
client.wns.windows.com,CNAME,dm3p.wns.notify.windows.com.akadns.net
client.wns.windows.com,CNAME,wns.notify.windows.com.akadns.net
client.wns.windows.com,CNAME,americas1.notify.windows.com.akadns.net
client.wns.windows.com,A,52.242.211.89
clientconfig.passport.net,A,104.71.232.249
clientconfig.passport.net,CNAME,e13551.dscg.akamaiedge.net
clientconfig.passport.net,CNAME,msagfx.live.com-6.edgekey.net
clientconfig.passport.net,CNAME,authgfx.msa.akadns6.net
ctldl.windowsupdate.com,A,23.67.246.33
ctldl.windowsupdate.com,A,23.67.246.26
ctldl.windowsupdate.com,A,23.67.246.49
ctldl.windowsupdate.com,CNAME,au-bg-shim.trafficmanager.net
ctldl.windowsupdate.com,CNAME,a767.dscg3.akamai.net
ctldl.windowsupdate.com,CNAME,au.download.windowsupdate.com.edgesuite.net
ctldl.windowsupdate.com,CNAME,audownload.windowsupdate.nsatc.net
ctldl.windowsupdate.com,A,23.67.246.9
dmd.metaservices.microsoft.com,CNAME,vmss-prod-eas.eastasia.cloudapp.azure.com
dmd.metaservices.microsoft.com,A,20.189.118.208
dmd.metaservices.microsoft.com,CNAME,devicemetadataservice.trafficmanager.net
dmd.metaservices.microsoft.com,A,20.54.64.202
dmd.metaservices.microsoft.com,CNAME,vmss-prod-neu.northeurope.cloudapp.azure.com
download.windowsupdate.com,CNAME,2-01-3cf7-0009.cdx.cedexis.net
download.windowsupdate.com,A,205.185.216.42
download.windowsupdate.com,A,205.185.216.10
download.windowsupdate.com,CNAME,cds.d2s7q6s2.hwcdn.net
download.windowsupdate.com,CNAME,wu-fg-shim.trafficmanager.net
download.windowsupdate.com,A,13.107.4.50
download.windowsupdate.com,CNAME,c-0001.c-msedge.net
download.windowsupdate.com,CNAME,b1ns.c-0001.c-msedge.net
download.windowsupdate.com,CNAME,b1ns.au-msedge.net
fe2.update.microsoft.com,A,52.142.21.141
fe2.update.microsoft.com,CNAME,fe2.update.microsoft.com.nsatc.net
fe2.update.microsoft.com,A,52.250.46.236
fe2.update.microsoft.com,A,40.70.224.147
fe2.update.microsoft.com,A,20.188.78.189
fe2.update.microsoft.com,A,52.250.46.238
fe2.update.microsoft.com,A,52.242.231.37
fe2.update.microsoft.com,A,52.242.231.36
fe2.update.microsoft.com,A,52.142.21.139
fe2.update.microsoft.com,A,52.250.195.204
go.microsoft.com,CNAME,go.microsoft.com.edgekey.net
go.microsoft.com,A,23.10.117.99
go.microsoft.com,CNAME,e11290.dspg.akamaiedge.net
login.live.com,A,40.126.0.74
login.live.com,A,40.126.0.67
login.live.com,A,40.126.0.68
login.live.com,A,40.126.0.66
login.live.com,A,40.126.0.72
login.live.com,A,40.126.0.70
login.live.com,A,40.126.0.73
login.live.com,CNAME,www.tm.a.prd.aadg.trafficmanager.net
login.live.com,CNAME,prda.aadg.msidentity.com
login.live.com,A,40.126.0.69
login.live.com,CNAME,www.tm.lg.prod.aadmsa.trafficmanager.net
login.live.com,CNAME,login.msa.msidentity.com
login.live.com,A,20.190.133.76
login.live.com,A,40.126.5.100
login.live.com,A,40.126.5.35
login.live.com,A,40.126.5.33
login.live.com,A,20.190.133.75
login.live.com,CNAME,www.tm.lg.prod.aadmsa.akadns.net
login.live.com,A,40.126.5.64
login.live.com,A,40.126.5.37
login.live.com,CNAME,www.tm.a.prd.aadg.akadns.net
login.live.com,A,20.190.133.78
login.live.com,A,40.126.0.65
login.live.com,A,40.126.0.71
ocsp.digicert.com,A,72.21.91.29
ocsp.digicert.com,CNAME,cs9.wac.phicdn.net
settings-win.data.microsoft.com,CNAME,settingsfd-geo.trafficmanager.net
settings-win.data.microsoft.com,A,52.185.211.133
sls.update.microsoft.com,A,13.74.179.117
sls.update.microsoft.com,A,13.68.93.109
sls.update.microsoft.com,CNAME,sls.row.update.microsoft.com.akadns.net
sls.update.microsoft.com,CNAME,sls.update.microsoft.com.akadns.net
sls.update.microsoft.com,A,40.125.122.176
time.windows.com,CNAME,time.microsoft.akadns.net
time.windows.com,A,40.119.6.228
v10.vortex-win.data.microsoft.com,A,64.4.54.254
v10.vortex-win.data.microsoft.com,CNAME,v10-win.vortex.data.trafficmanager.net
v10.vortex-win.data.microsoft.com,A,52.114.133.60
v10.vortex-win.data.microsoft.com,CNAME,skypedataprdcoleus06.cloudapp.net
watson.telemetry.microsoft.com,CNAME,skypedataprdcolwus16.cloudapp.net
watson.telemetry.microsoft.com,A,104.42.151.234
watson.telemetry.microsoft.com,CNAME,blobcollector.events.data.trafficmanager.net
watson.telemetry.microsoft.com,A,40.88.32.150
watson.telemetry.microsoft.com,CNAME,skypedataprdcoleus15.cloudapp.net
wdcp.microsoft.com,A,13.82.144.201
wdcp.microsoft.com,CNAME,wd-prod-cp.trafficmanager.net
wdcp.microsoft.com,CNAME,wd-prod-cp-us-east-2-fe.eastus.cloudapp.azure.com
win10.ipv6.microsoft.com,A,52.241.128.114
win10.ipv6.microsoft.com,CNAME,trdovmsswestus.ipv6.microsoft.com.akadns.net
win10.ipv6.microsoft.com,CNAME,onpremwindows.ipv6.microsoft.com.akadns.net
www.msftconnecttest.com,A,13.107.4.52
www.msftconnecttest.com,CNAME,4-c-0003.c-msedge.net
www.msftconnecttest.com,CNAME,ncsi.4-c-0003.c-msedge.net
www.msftconnecttest.com,CNAME,v4ncsi.msedge.net
